Test_ID,Suite,Raw_Address,Target_Challenge,Resolved_House,Resolved_Street,Resolved_City,Resolved_District,Resolved_State,Resolved_PIN,Clean_Address,Status,Method
66,Hyper-Dense Urban Slums,"Block A, Slum Board Tenements, Ezhil Nagar, Chennai",Government tenement housing aliases.,Block A,"Slum Board Tenements, Pallikaranai",Chennai,Kanchipuram,Tamil Nadu,600100,"Block A, Slum Board Tenements, Pallikaranai, Chennai, Tamil Nadu 600100",verified,pincode_lookup
67,Hyper-Dense Urban Slums,"House 54, Khatik Mohalla, near Bada Nala, Kanpur",Mohalla refers to a highly localized neighborhood.,House 54,"Khatik Mohalla near Bada, Hatia (Kanpur Nagar)",Kanpur Nagar,Kanpur Nagar,Uttar Pradesh,208001,"House 54, Khatik Mohalla, near Bada, Hatia (Kanpur Nagar), Kanpur Nagar, Uttar Pradesh 208001",verified,pincode_lookup
68,Hyper-Dense Urban Slums,"Zopadpatti near railway tracks, Bandra East, MH",Zopadpatti translates to slum; extremely ambiguous.,,"Zopadpatti near railway track s, Bandra West",Mumbai,Mumbai,Maharashtra,400050,"Zopadpatti near railway track s, Bandra West, Mumbai, Maharashtra 400050",verified,pincode_lookup
69,Hyper-Dense Urban Slums,"Makan no 12, Kachi Basti, Jalupura, Jaipur",Kachi Basti translates to temporary settlement.,Makan no 12,"Kachi basti, Purani Basti (Jaipur)",Jaipur,Jaipur,Rajasthan,302001,"Makan no 12, Kachi basti, Purani Basti (Jaipur), Jaipur, Rajasthan 302001",verified,pincode_lookup
70,Hyper-Dense Urban Slums,"Jhuggian near grain market, Sector 26, Chandigarh",Jhuggian refers to a cluster of huts.,,"Jhuggian near g rain market 26, Sector 26 (Chandigarh)",Chandigarh,Chandigarh,Chandigarh,160019,"Jhuggian near g rain market, 26, Sector 26 (Chandigarh), Chandigarh, Chandigarh 160019",verified,pincode_lookup
71,Vanity Addresses & Campuses,"Google India, Block 1, DivyaSree Omega, Hitech City, Hyderabad",Missing specific floor or street; relies purely on POI database.,Block,"1 Divya Sree Omega, Cyberabad",Hyderabad,Hyderabad,Telangana,500081,"Block 1, Divya Sree Omega, Cyberabad, Hyderabad, Telangana 500081",verified,pincode_lookup
72,Vanity Addresses & Campuses,"Infosys Campus, Electronic City Phase 1, Bangalore 560100",Massive campuses require specific gate routing.,,"Infosys Campus Electronic City Phase 1, Electronics City",Bengaluru,Bengaluru,Karnataka,560100,"Infosys Campus, Electronic City Phase 1, Electronics City, Bengaluru, Karnataka 560100",verified,pincode_lookup
73,Vanity Addresses & Campuses,"DLF Cyber City, Building 10C, 9th Floor, Gurugram",Internal building complex routing without external streets.,Building 10 C,9 th Floor,Gurugram,,,,"Building 10 C, 9 th Floor, Gurugram",unverified,model_prediction
74,Vanity Addresses & Campuses,"Manyata Embassy Business Park, Beech block, Hebbal, Bengaluru",Complex tech park with internal alphabetized blocks.,Manyata Embassy Business,"Park Beech block, Venkateshapura",Bengaluru,Bengaluru,Karnataka,560045,"Manyata Embassy Business Park, Beech block, Venkateshapura, Bengaluru, Karnataka 560045",verified,pincode_lookup
75,Vanity Addresses & Campuses,"Reliance Corporate Park, Thane Belapur Road, Ghansoli, Navi Mumbai",Large corporate park spanning multiple pincodes.,,"Reliance Corporate Park Thane Belapur Road, Ghansoli",Thane,Thane,Maharashtra,400701,"Reliance Corporate Park, Thane Belapur Road, Ghansoli, Thane, Maharashtra 400701",verified,pincode_lookup
76,Vanity Addresses & Campuses,"Mindspace IT Park, Building No 2, Airoli, Mumbai",Building numbers internal to the IT park rather than the street.,Building No 2,Airoli,Mumbai,Thane,Maharashtra,400708,"Building No 2, Airoli, Mumbai, Maharashtra 400708",verified,pincode_lookup
77,Vanity Addresses & Campuses,"Amazon BLR12, Bagmane Constellation Business Park, Marathahalli",Internal corporate site codes (BLR12) mixed with public addresses.,Amazon BLR 12,"Bagmane Constellation Business Park, Marathahalli Colony",Bengaluru,Bengaluru,Karnataka,560037,"Amazon BLR 12, Bagmane Constellation Business Park, Marathahalli Colony, Bengaluru, Karnataka 560037",verified,pincode_lookup
78,Vanity Addresses & Campuses,"World Trade Center, Brigade Gateway Campus, Rajajinagar, BLR",Nested landmarks (WTC inside Brigade Gateway).,,"World Trade Center Brigade Gate way Campus, Malleswaram West",Bengaluru,Bengaluru,Karnataka,560055,"World Trade Center, Brigade Gate way Campus, Malleswaram West, Bengaluru, Karnataka 560055",verified,pincode_lookup
79,Vanity Addresses & Campuses,"One BKC, C-Wing, Bandra Kurla Complex, Mumbai 400051",Vanity building names replacing traditional house numbers.,One BKC C-Wing,"Bandra Kurla Complex, Bandra West",Mumbai,Mumbai,Maharashtra,400050,"One BKC, C-Wing, Bandra Kurla Complex, Bandra West, Mumbai, Maharashtra 400050",verified,pincode_lookup
80,Vanity Addresses & Campuses,"TCS Siruseri, SIPCOT IT Park, OMR, Chennai 603103",Acronym-heavy tech park routing.,TCS Siruseri SIPCOT IT,"Park, Pudupakkam",Kanchipuram,Kanchipuram,Tamil Nadu,603103,"TCS Siruseri, SIPCOT IT Park, Pudupakkam, Kanchipuram, Tamil Nadu 603103",verified,pincode_lookup
81,Cross-Border Anomalies,"Sector 14, Near Delhi Border, Gurgaon, NCR 122001",Gurgaon is Haryana; tests border confusion logic.,,"Sector 14 Near Delhi B order, Gurgaon Sector 17",Gurgaon,Gurgaon,Haryana,122001,"Sector 14, Near Delhi B order, Gurgaon Sector 17, Gurgaon, Haryana 122001",verified,pincode_lookup
82,Cross-Border Anomalies,"Zirakpur-Panchkula Road, Near Chandigarh border, Zirakpur 140603",Tri-junction confusion between Punjab/Haryana/Chandigarh.,,"Zirakpur-Panchkula Road Near, Raj Bhawan (Chandigarh)",Chandigarh,Chandigarh,Chandigarh,160019,"Zirakpur-Panchkula Road, Near, Raj Bhawan (Chandigarh), Chandigarh, Chandigarh 160019",verified,pincode_lookup
83,Cross-Border Anomalies,"Vasundhara Enclave, Delhi-Noida Border, New Delhi 110096",State borders explicitly mentioned in the string.,Vasundhara Enclave,Vasundhra Enclave,New Delhi,East Delhi,Delhi,110096,"Vasundhara Enclave, Vasundhra Enclave, New Delhi, Delhi 110096",verified,pincode_lookup
84,Cross-Border Anomalies,"Attibele check post, Hosur Road, Bangalore 562107",Karnataka/Tamil Nadu border checkpoint used as a landmark.,,Attibele check post Hosur Road,Bengaluru,Bengaluru,Karnataka,562107,"Attibele check post, Hosur Road, Bengaluru, Karnataka 562107",verified,pincode_lookup
85,Cross-Border Anomalies,"Kapashera border, near toll plaza, New Delhi 110037",Inter-state toll plazas acting as localities.,,"near toll plaza, Palam Airport",New Delhi,South West Delhi,Delhi,110037,"near toll plaza, Palam Airport, New Delhi, Delhi 110037",verified,pincode_lookup
86,Cross-Border Anomalies,"Vapi-Daman Main Road, near checkpost, Vapi, Gujarat",Gujarat and Daman Union Territory border routing.,Vapi-Daman,"Main Road near check post, Vapi",Daman,Valsad,Gujarat,396191,"Vapi-Da man Main Road, near check post, Daman, Gujarat 396191",verified,pincode_lookup
87,Cross-Border Anomalies,"Noida Sector 62, adjacent to Indirapuram, UP",Two different cities (Noida/Ghaziabad) in the same query.,,Noida Sector 62 beside,Noida,Gautam Buddha Nagar,Uttar Pradesh,201309,"Noida Sector 62,, Noida, Uttar Pradesh 201309",verified,pincode_lookup
88,Cross-Border Anomalies,"Parwanoo border, Kalka-Shimla Highway, HP 173220",Haryana and Himachal Pradesh border crossing.,,Parwanoo b order Kalka-Shimla Highway,Shimla,Solan,Himachal Pradesh,173220,"Parwanoo b order, Kalka-Shimla Highway, Shimla, Himachal Pradesh 173220",verified,pincode_lookup
89,Cross-Border Anomalies,"Kasaragod border, near Thalapady toll, Mangalore 575023",Karnataka and Kerala linguistic and geographic border.,,"near Thalapady toll, Talapady",Dakshina Kannada,Dakshina Kannada,Karnataka,575023,"near Thalapady toll, Talapady, Dakshina Kannada, Karnataka 575023",verified,pincode_lookup
90,Cross-Border Anomalies,"Faridabad-Badarpur Border, Mathura Road, New Delhi",Delhi/Haryana border explicitly named.,,"Faridaba Badarpur B order Mathura Road, Badarpur (South Delhi)",New Delhi,South Delhi,Delhi,110044,"Faridabad-Badarpur B order, Mathura Road, Badarpur (South Delhi), New Delhi, Delhi 110044",verified,pincode_lookup
91,Formatting Chaos,"H.no-45,, ,sec-2,, ,,rohini, delhi--110085",Excessive punctuation and delimiters.,H no-45 sec-2,"rohini delhi, Rohini sec-11",New Delhi,North West Delhi,Delhi,110085,"H, no-45, sec-2, rohini, delhi, Rohini sec-11, New Delhi, Delhi 110085",verified,pincode_lookup
92,Formatting Chaos,"name: rahul, add: sec 4, ph: 999999999, city: blr",JSON/Key-value style pasting directly into a single string.,sec 4 999999999,rahul,Bengaluru,,,999999,"rahul, sec 4, 999999999, Bengaluru, 999999",unverified,model_prediction
93,Formatting Chaos,address line 1: flat 4 address line 2: mg road city: pune,Form fields merged into a continuous unstructured string.,flat,4 mg road,Pune,,,,"flat 4 mg road, Pune",unverified,model_prediction
94,Formatting Chaos,Delhi. New Delhi. Connaught Place. Block A. Shop 12.,Full stops used incorrectly instead of commas.,,Delhi. New Delhi. Connaught Place. Block A.,New Delhi,Central Delhi,Delhi,110001,"Delhi. New Delhi. Connaught Place. Block A., New Delhi, Delhi 110001",verified,pincode_lookup
95,Formatting Chaos,"45/A 
 MG Road 
 Camp 
 Pune 
 411001",Newline characters injected into the raw text string.,,"45/A MG Road Camp Pune, Ghorpuri Bazar",Pune,Pune,Maharashtra,411001,"45/A MG Road Camp Pune, Ghorpuri Bazar, Pune, Maharashtra 411001",verified,pincode_lookup
96,Formatting Chaos,"Deliver to: John Doe, 123 Main St, Wait this is the wrong address, use 456 Park Ave, Mumbai",Self-correction and contradictory instructions within the text.,456,Park Ave,Mumbai,,,,"456 Park Ave, Mumbai",unverified,model_prediction
97,Formatting Chaos,PlotNo12Sector4DwarkaNewDelhi110078,Complete lack of spaces (camelCase or squashed strings).,Plot No 12,"Sector 4, Dwarka Sec-6",New Delhi,South West Delhi,Delhi,110075,"Plot No 12 Sector 4, Dwarka Sec-6, New Delhi, Delhi 110075",verified,pincode_lookup
98,Formatting Chaos,"Flat 1, (near the park), [behind the mall], {ask for sharma}, Delhi",Use of various programming brackets acting as noise.,Flat 1,near the park behind the mall ask for,sharma,,Delhi,,"Flat 1, near the park, behind the mall, ask for, sharma, Delhi",unverified,model_prediction
99,Formatting Chaos,12th Cross 15th Main 4th Sector HSR Layout Bangalore 560102,Number-heavy string lacking commas or clear delimiters.,,"12 th Cross 15 th Main 4 th Sector HSR, HSR Layout",Bengaluru,Bengaluru,Karnataka,560102,"12 th Cross 15 th Main 4 th Sector HSR, HSR Layout, Bengaluru, Karnataka 560102",verified,pincode_lookup
100,Formatting Chaos,SAME AS BILLING ADDRESS,A common data entry failure in logistics systems.,,,,,,,UNVERIFIED_DATA_ENTRY_ERROR,unverified,dummy_input_trap
