Test_ID,Suite,Raw_Address,Target_Challenge,Resolved_House,Resolved_Street,Resolved_City,Resolved_District,Resolved_State,Resolved_PIN,Clean_Address,Status,Method
15,The Landmark Narrative,"Gali no 4, teesra makaan left me, peele rang ka gate, near shiv mandir, rohtak","Code-mixed Hindi routing ('teesra makaan', 'peele rang').",,gali no 4 teesra makaan left me peele rang ka gate near,shiv mandir rohtak,,,,"gali no 4, teesra makaan left me, peele rang ka gate,, shiv mandir rohtak",unverified,model_prediction
16,The Landmark Narrative,"Just behind Apollo hospital, the road going towards the lake, third building, Salt Lake",Directional vectors rather than exact coordinate points.,,"Just behind Apollo hospital the road going towards the lake third building, Nabadiganta IT",North 24 Parganas,North 24 Parganas,West Bengal,700091,"Just behind Apollo hospital, the road going towards the lake, third building, Nabadiganta IT, North 24 Parganas, West Bengal 700091",verified,pincode_lookup
17,The Landmark Narrative,"Near the water tank, opposite to the post office, main road, Kakinada, AP",Ambiguous POI dependencies (which water tank?).,,"Near the water tank opposite the post office main road, Kakinada H.O",East Godavari,East Godavari,Andhra Pradesh,533001,"Near the water tank, opposite the post office, main road, Kakinada H.O, East Godavari, Andhra Pradesh 533001",verified,pincode_lookup
18,The Landmark Narrative,"House with the red balcony, next to Sharmaji ki dukaan, lane beside police station, Jaipur",Ephemeral landmarks ('Sharmaji ki dukaan').,House,with the red balcony beside Sharmaji k i dukaan lane beside,police station Jaipur,,,,"House with the red balcony, beside Sharmaji k i dukaan, lane, police station Jaipur",unverified,model_prediction
19,The Landmark Narrative,"Ground floor, come inside the alley next to the pharmacy, ring bell twice, Bandra",Action-based instructions overriding location data.,,"Ground floor come inside the alley beside the pharmacy, Bandra West",Mumbai,Mumbai,Maharashtra,400050,"Ground floor, come inside the alley beside the pharmacy, Bandra West, Mumbai, Maharashtra 400050",verified,pincode_lookup
20,The Landmark Narrative,"Call me when you reach the petrol pump, I will guide you, house is inside the narrow lane, Kochi",Complete absence of final destination coordinates.,,I will guide you house is inside the narrow lane,Kochi,,,,"I will guide you, house is inside the narrow lane, Kochi",unverified,model_prediction
21,Token Corruption & Slang,"Flt no 2, kormangla 5th blk, bnglr - 560095",Extreme vowel dropping and abbreviation.,,"Flt no 2 kormangla 5 th blk bnglr, Koramangala VI Bk",Bengaluru,Bengaluru,Karnataka,560095,"Flt no 2, kormangla 5 th blk, bnglr, Koramangala VI Bk, Bengaluru, Karnataka 560095",verified,pincode_lookup
22,Token Corruption & Slang,"xx Marol Maroshi Rd, Marol, Andheri WAST, Mumbai 400059",Phonetic typo ('WAST' instead of West).,,"x x Marol Maroshi Rd Marol Andheri WAST, Marol Naka",Mumbai,Mumbai,Maharashtra,400059,"x x Marol Maroshi Rd, Marol, Andheri WAST, Marol Naka, Mumbai, Maharashtra 400059",verified,pincode_lookup
23,Token Corruption & Slang,"Gnd flr, nr chouraha, m.g. rd, pne",Regional geographic slangs ('chouraha' for crossroads).,,"Gnd flr near chouraha m g. rd, Gondhale Nagar",Pune,Pune,Maharashtra,411028,"Gnd flr, near chouraha, m, g. rd, Gondhale Nagar, Pune, Maharashtra 411028",fuzzy_corrected,fuzzy_match
24,Token Corruption & Slang,"B-23, sct 62, noida, up, ncr",Excessive use of acronyms.,B-23 sct 62,"noida up, Sector-122 Noida",Noida,Gautam Buddha Nagar,Uttar Pradesh,201316,"B-23, sct 62, noida, up, Sector-122 Noida, Noida, Uttar Pradesh 201316",fuzzy_corrected,fuzzy_match
25,Token Corruption & Slang,"1st flr, opp sbi bnk, c g rd, ahmd",Heavy abbreviation of the city token (Ahmedabad).,,"1 st flr opposite sbi bnk c g rd, Shastrinagar (Ahmedabad)",Ahmedabad,Ahmedabad,Gujarat,380013,"1 st flr, opposite sbi bnk, c g rd, Shastrinagar (Ahmedabad), Ahmedabad, Gujarat 380013",fuzzy_corrected,fuzzy_match
26,Token Corruption & Slang,"H no 12, triplicn, chnnai 5",Dropped characters and outdated single-digit postal zones.,H no 12,triplicn,Chennai,,5,,"H no 12, triplicn, Chennai, 5",unverified,model_prediction
27,Token Corruption & Slang,"Qtr no 4, rly colony, ndls",Sector jargon (NDLS for New Delhi Railway Station).,,"Qtr no 4 Railway, Sri Nagar Colony",New Delhi,North West Delhi,Delhi,110034,"Qtr no 4, Railway, Sri Nagar Colony, New Delhi, Delhi 110034",fuzzy_corrected,fuzzy_match
28,Token Corruption & Slang,"Shp 3, opp rly stn, tvm, kerala",Extreme city abbreviation (Trivandrum -> TVM).,Shp 3,opposite Railway Station,Thiruvananthapuram,,kerala,,"Shp 3, opposite Railway Station, Thiruvananthapuram, kerala",unverified,model_prediction
29,Token Corruption & Slang,"H no 9, nr r n t med clg, udiapur",Typo in city ('udiapur') combined with heavy POI acronyms.,H no 9,near r n t med clg,,,Udaipur,,"H no 9, near r n t med clg, Udaipur",unverified,model_prediction
30,Token Corruption & Slang,"F-4, b/h p n b, c p, dli","Obscure shorthand ('b/h' for behind, CP for Connaught Place).",F-4 b,/h p n b c p Old,,,Delhi,,"F-4, b/h p n b, c p, Old, Delhi",unverified,model_prediction
31,Noise Injection,"Rahul Sharma (S/O Ramesh Sharma), House No 45, Deliver only after 6 PM, Do not call before 5, Sector 12, Dwarka, New Delhi 110075",PII and temporal delivery instructions mixed with address.,House No 45,"Sector 12, District Court Complex Dwarka",New Delhi,South West Delhi,Delhi,110075,"House No 45, Sector 12, District Court Complex Dwarka, New Delhi, Delhi 110075",verified,pincode_lookup
32,Noise Injection,"Flat 101, Tower 3, Call my wife on 9876543210 if I don't pick up, Prestige Shantiniketan, Whitefield, Bangalore",Embedded phone numbers confusing numerical extractors.,Flat 101 Tower 3,"if I don't pick up Prestige, Whitefield",Bengaluru,Bengaluru,Karnataka,560066,"Flat 101, Tower 3, if I don't pick up, Prestige, Whitefield, Bengaluru, Karnataka 560066",verified,pincode_lookup
33,Noise Injection,"Shop number 5, Give it to the security guard if shop is closed, Main Market, Lajpat Nagar, Delhi 24",Conditional logic embedded in the string.,Shop number 5,"Main Market Lajpat Nagar, Lajpat Nagar (South Delhi)",New Delhi,South Delhi,Delhi,110024,"Shop number 5, Main Market, Lajpat Nagar, Lajpat Nagar (South Delhi), New Delhi, Delhi 110024",verified,pincode_lookup
34,Noise Injection,"House 12, Leave package at the door, Beware of dog, Jubilee hills road no 36, Hyderabad",Extraneous warning text.,House 12,Jubilee hills road no 36,Hyderabad,Hyderabad,Telangana,500033,"House 12, Jubilee hills road no 36, Hyderabad, Telangana 500033",verified,pincode_lookup
35,Noise Injection,"C/O Mr Gupta, The tall building next to the park, ring the top bell, Vashi Sector 9, Navi Mumbai",'C/O' prefixes and physical actions.,The tall building,"beside the park ring the above bell Vashi 9, Vashi Sec-26",Mumbai,Thane,Maharashtra,400703,"The tall building beside the park, ring the above bell, Vashi 9, Vashi Sec-26, Mumbai, Maharashtra 400703",verified,pincode_lookup
36,Noise Injection,"Ramesh Traders, Ask anyone for Ramesh in the market, Wholesale market, Chandni Chowk, Delhi",Conversational noise.,,"Ramesh Trade rs Wholesale market, Chandni Chowk",New Delhi,North Delhi,Delhi,110006,"Ramesh Trade rs, Wholesale market, Chandni Chowk, New Delhi, Delhi 110006",verified,pincode_lookup
37,Noise Injection,"Plot 4, Deliver on Sunday only, Software Park, Hinjewadi phase 1, Pune",Date and day constraints masking as location data.,Plot 4,"Software Park Hinjewadi phase 1, Infotech  Park (Hinjawadi)",Pune,Pune,Maharashtra,411057,"Plot 4, Software Park, Hinjewadi phase 1, Infotech Park (Hinjawadi), Pune, Maharashtra 411057",verified,pincode_lookup
38,Noise Injection,"House 99, If gate is locked throw it over the wall, Anna Nagar East, Chennai",Extreme physical instructions.,House 99,"Anna Nagar East, Anna Nagar (Chennai)",Chennai,Chennai,Tamil Nadu,600040,"House 99, Anna Nagar East, Anna Nagar (Chennai), Chennai, Tamil Nadu 600040",verified,pincode_lookup
39,Noise Injection,"Flat 2A, Call me I will come down, Lift is not working, Park Street, Kolkata",Status updates ('lift not working') acting as noise.,Flat 2 A ,"Park Street, Park Street H.O",Kolkata,Kolkata,West Bengal,700016,"Flat 2 A, Park Street, Park Street H.O, Kolkata, West Bengal 700016",verified,pincode_lookup
40,Noise Injection,"Shop 12, Ask for Chotu, He will take the parcel, Main Bazar, Indore",Secondary human entities.,Shop 12,Main Bazar,Indore,,,,"Shop 12, Main Bazar, Indore",unverified,model_prediction
41,Rural & Administrative Hierarchies,"Village Rampur, Post Office Shikarpur, Tehsil Bulandshahr, District Bulandshahr, UP 203395",Standard rural VPO (Village Post Office) hierarchy.,Village,"Rampur Post Office Shikarpur tehsil, Shikarpur (Bulandshahr)",Bulandshahr,Bulandshahr,Uttar Pradesh,203395,"Village Rampur, Post Office Shikarpur, tehsil, Shikarpur (Bulandshahr), Bulandshahr, Uttar Pradesh 203395",verified,pincode_lookup
42,Rural & Administrative Hierarchies,"Ward No 5, Gram Panchayat Kheda, Via Anand, District Kheda, Gujarat",Use of 'Via' routing points and Panchayat wards.,,"Ward No 5 Gram Panchayat Kheda Via An and, Kheda H.O",Kheda,Kheda,Gujarat,387411,"Ward No 5, Gram Panchayat Kheda, Via An and, Kheda H.O, Kheda, Gujarat 387411",verified,pincode_lookup
43,Rural & Administrative Hierarchies,"House of Sarpanch, Village Kheri, PO Meham, Rohtak, Haryana 124112",Entity-based rural addressing ('House of Sarpanch').,House of Sarpanch Village,"Kheri PO Meham Rohtak, Bhanimaharajpur",Rohtak,Rohtak,Haryana,124112,"House of Sarpanch, Village Kheri, PO Meham, Rohtak, Bhanimaharajpur, Rohtak, Haryana 124112",verified,pincode_lookup
44,Rural & Administrative Hierarchies,"Near Gramin Bank, Village and PO Palampur, Kangra, HP 176061",Combined Village/PO tokens.,,"Near Gramin Bank Village and PO Palampur, Palampur H.O",Kangra,Kangra,Himachal Pradesh,176061,"Near Gramin Bank, Village and PO Palampur, Palampur H.O, Kangra, Himachal Pradesh 176061",verified,pincode_lookup
45,Rural & Administrative Hierarchies,"VPO Dhana, Tehsil Hansi, Dist Hisar, Haryana",Heavy use of abbreviations (VPO for Village Post Office).,,"VPO Dhana tehsil Hansi Dist His ar, T C Hansi",Hisar,Hisar,Haryana,125033,"VPO Dhana, tehsil Hansi, Dist His ar, T C Hansi, Hisar, Haryana 125033",verified,pincode_lookup
46,Rural & Administrative Hierarchies,"Khata no 45, Khasra no 12/3, Village Jonapur, New Delhi 110047",Land registry numbers (Khata/Khasra) instead of street numbers.,khata no 45 khasra no 12/3 Village,Jaunapur,New Delhi,South West Delhi,Delhi,110047,"khata no 45, khasra no 12/3, Village, Jaunapur, New Delhi, Delhi 110047",verified,pincode_lookup
47,Rural & Administrative Hierarchies,"House 4, Ward 12, Near Panchayat Bhavan, Village Katihar, Bihar",Local administrative buildings used as anchors.,House 4 Ward,"12 Near Panchayat Bhavan Village, Katihar Bara Bazar",Katihar,Katihar,Bihar,854105,"House 4, Ward 12, Near Panchayat Bhavan, Village, Katihar Bara Bazar, Katihar, Bihar 854105",verified,pincode_lookup
48,Rural & Administrative Hierarchies,"C/O Headmaster, Govt Primary School, Village Sombaria, West Sikkim",Institutional proxy addressing.,,"Govt Primary School Village, Naya Bazar (West Sikkim)",East Sikkim,West Sikkim,Sikkim,737121,"Govt Primary School, Village, Naya Bazar (West Sikkim), East Sikkim, Sikkim 737121",verified,pincode_lookup
49,Rural & Administrative Hierarchies,"House of Mukhiya, Village Madhopur, PO and PS Hajipur, Vaishali, Bihar",Police Station (PS) used as a geographic boundary marker.,House,"of Mukhiya Village Madhopur PO and near Hajipur, Hajipur H.O",Vaishali,Vaishali,Bihar,844101,"House of Mukhiya, Village Madhopur, PO and near Hajipur, Hajipur H.O, Vaishali, Bihar 844101",verified,pincode_lookup
50,Rural & Administrative Hierarchies,"Plot 12, Survey No 45, Gram Panchayat limit, Wagholi, Pune 412207",Survey numbers used in peri-urban or expanding city edges.,Plot 12 Survey No 45,"Gram Panchayat limit Wagholi, Vagholi",Pune,Pune,Maharashtra,412207,"Plot 12, Survey No 45, Gram Panchayat limit, Wagholi, Vagholi, Pune, Maharashtra 412207",verified,pincode_lookup
